Наименование	Фото	Состав	Производство	Цена	Тип шампуня	 кожи приоритетный	 альтертанивный
Alerana  Шампунь для жирной и комбинированной 		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Lauryl Glucoside, PEG-4 Rapeseedamide, Cocamide DEA, PEG-7 Glyceryl Cocoate, Glycerin, Sodium Chloride, Parfume, Panthenol, Aesculus Hippocastanum Extract, Artemisia Vulgaris Extract, Arctium Lappa Root Extract, Urtica Dioica Leaf Extract, Salvia Officinalis Extract, Pisum Sativum (Pea) Sprout Extract/Phenoxyethanol/Sodium Benzoate, Ocimum Basilicum Hairy Root Culture Extract / Sodium Benzoate, Polyquaternium-10, Hydrolyzed Wheat Protein, Methylchloroisothiazolinone/ Methylisothiazolinone Citric Acid, Melaleuca Alternifolia Leaf Oil	РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
Aravia Professional Sensitive Skin Shampoo  Шампунь с пребиотиками		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Coco-Glucoside, Inulin, Propylene Glycol, PEG-7 Glyceryl Cocoate, Parfum, Alpha-Glucan Oligosaccharide, Piroctone Olamine, Sodium Chloride, Polyquaternium-10, Lactic Acid, Laureth-2, PEG/PPG-120/10 Trimethylolpropane Trioleate, Methylchloroisothiazolinone, Methylisothiazolinone. 	РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
DAVINES Rebalancing shampoo		Aqua / Water / Eau, Sodium Lauroyl Methyl Isethionate, Cocamidopropyl Betaine, Sodium Olivamphoacetate, Sodium Lauroyl Sarcosinate, Polysorbate 20, Benzyl Alcohol, Sodium Chloride, Parfum / Fragrance, Acrylates/c10-30 Alkyl Acrylate Crosspolymer, Sodium Benzoate, Trisodium Ethylenediamine Disuccinate, Eugenol, Polyquaternium-10, Butylene Glycol, Disodium Edta, Geraniol, Linalool, Cinnamal, Sodium Hydroxide, Polyquaternium-67, Citronellol, Citrus Limon Leaf Extract / Citrus Limon (lemon) Leaf Extract, Cinnamomum Cassia Bark Extract, Sanguisorba Officinalis Root Extract, Zingiber Officinale Root Extract / Zingiber Officinale (ginger) Root Extract.	ЕС	Высокая	Базовый шампунь	Нормальный	Жирный
Estel  Curex Classic Шампунь "Основной уход" для ежедневного применения для всех типов волос		Aqua, Sodium Laureth Sulfate, Cocamide DEA, Decyl Glucoside, Glycol Distearate, Cocamidopropyl Betaine, Sodium Chloride, Hydrolyzed Keratin, Parfum, Butylphenyl Methylpropional, Linalool, Polyquaternium-10, Glycerin, Propylene Glycol, Sorbitol, Carboxymethyl Chitin, Panthenol, Sodium Hyaluronate, Hexyldecanol, Hexyldecyl Laurate, Citric Acid,  Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
Keune Care Derma Regulate Shampoo Шампунь себорегулирующий		Aqua (Water), Sodium Laureth Sulfate, Undecylenamidopropyl Betaine, Disodium Cocoamphodiacetate, Cocamidopropyl Betaine, Sodium Chloride, Propylene Glycol, Perfume (Flavoring), Peg-200 Hydrogenated Glyceryl Palmitate, Peg-40 Hydrogenated Vinyl Nitroacetate, 7 Citric Acid, Methyl Paraben, Polysorbate 80, Sodium Cocoyl Hydrolyzed Wheat Protein, Propyl Paraben, Gentiana Lutea Extract (Root), Saccharomycete / Magnesium Extract, Montana Arnica Extract (Flower), Ec Hay Flower Stratum, Hyperflower Extract, Hyper Juniperus Communis Extract (Fruit), Lactic Acid, Melissa Officinalis Extract (Leaves), Picea Abies Leaf Extract, Saccharomyces / Iron Fermentation, Sulfur, Phenoxyethanol	ЕС	Высокая	Базовый шампунь	Нормальный	Жирный
L'Oreal Paris Elseve 3 Ценные Глины Шампунь, балансирующий, для жирных у корней и сухих на кончиках 		Aqua/water, sodium laureth sulfate, coco-betaine, glycol distearate, sodium chloride, ci 42090/blue 1, guar hydroxypropyltrimonium chloride, sodium benzoate, sodium hyaluronate, sodiumhydroxide, ppg- 5-ceteth-20, argilla/magnesium aluminum silicate, salicylic acid, fumaric acid, linalool, benzyl alcohol, benzylsalicylate, montmorillonite, kaolin, alphaisomethyl ionone, carbomer, geraniol, octyldodecanol, citronellol, citric acid, hexyl cinnamal, parfum/fragrance.	ЕС РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
Ollin Professional   CARE For Daily Use для ежедневного ухода для волос и тела 		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium Laureth-5 Carboxylate, Sodium Chloride, PEG-7-Glyceryl Cocoate, Silicone Quaternium-16, Undeceth-11, Butyloctanol, Undeceth-5, Parfum, Citric Acid, Panthenol, Polyquaternium-10, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone	РФ/СНГ	Высокая	Базовый шампунь	Нормальный	Жирный
Pantene Pro V Питание и блеск		Aqua, Sodium Laureth Sulfate, Sodium Citrate, Sodium Xylenesulfonate, Sodium Lauryl Sulfate, Glycol Distearate, Cocamidopropyl Betaine, Sodium Chloride, Dimethicone, Cocamide Mea, Parfum, Sodium Benzoate, Stearyl Alcohol, Citric Acid, Sodium Salicylate, Cetyl Alcohol, Glycerin, Guar Hydroxypropyltrimonium Chloride, Polyquaternium-6, Sodium Hydroxide, Tetrasodium EDTA, Panthenol, Panthenyl Ethyl Ether, Histidine, Hexyl Cinnamal  * состав может отличаться в зависимости от страны производства	ЕС РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
Pantene Pro V Увлажнение и восстановление 		Aqua, Sodium Laureth Sulfate, Sodium Citrate, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Stearyl Alcohol, Sodium LaurylSulfate, Sodium Chloride, Cetyl Alcohol, Parfum, Citric Acid, Sodium Benzoate, Polyquaternium-6, Guar HydroxypropyltrimoniumChloride, Tetrasodium EDTA, Sodium Hydroxide, Trisodium Ethylenediamine Disuccinate, Trihydroxystearin, Panthenol, Panthenyl EthylEther, Hexyl Cinnamal, Hydroxycitronellal, Magnesium Nitrate, Methylchloroisothiazolinone, Magnesium Chloride,Methylisothiazolinone  * состав может отличаться в зависимости от страны производства	ЕС РФ/СНГ	Средняя	Базовый шампунь	Нормальный	Жирный
Polikova Beauty Keratin Шампунь для объема 		Sodium laureth sulfate; cocamidopropyl betaine; sodium chloride; polyquaternium-7; glycerin; coco-glucoside; fragrance; hydrolyzed keratin; hydrolyzed silk; aloe barbadensis extract; calendula officials flower extract; hippophae rhamnoides leaf extract; rosmarinus officinalis leaf extract; achillea millefolium extract; salvia officinalis extract; polyouaternium-10; pantothenic acid; citric acid; methylchloroisothiazolinon; methylisothiazolinone	РФ/СНГ	Высокая	Базовый шампунь	Нормальный	Жирный
AlterEgo Italy  Calming Shampoo Успокаивающий шампунь для чувствительной кожи головы		Aqua (Water), Ammonium Lauryl Sulfate, Sodium Myreth Sulfate, Sodium Cocoamphoacetate, Sodium Chloride, Parfum (Fragrance), Lactic Acid, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Sodium Hydroxide, Propanediol, Citric Acid, Tartaric Acid, Linalool, Gluconic Acid, Aloe Barbadensis Leaf Juice, Avena Sativa Leaf/Stalk Extract (Avena Sativa Oat Leaf/Stalk Extra	ЕС	Высокая	Интенсивный	Жирный	Нормальный
Herbal essences  Volume shampoo white grapefruit		Aqua, Sodium Laureth Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Parfum, Citric Acid, Sodium Benzoate, Sodium Citrate, Limonene, Sodium Salicylate, Hydroxypropyl Methylcellulose, Linalool, Sodium Hydroxide, Tetrasodium EDTA, Citronellol, Propylene Glycol, Menthol, Mentha Piperita Oil, Mentha Arvensis Leaf Oil, Butylene Glycol, Histidine, Citrus Paradisi Juice, Aloe Barbadensis Leaf Juice, Alcohol Denat., Glyoxal, Potassium Sorbate, Ecklonia Radiata Extract	ЕС	Средняя	Интенсивный	Жирный	Нормальный
KayPro  Keratin Special Care Шампунь восстанавливающий с кератином		Aqua (Water), Ammonium Lauryl Sulfate, Sodium Myreth Sulfate, Sodium Cocoamphoacetate, MIPA Lauryl Sulfate, Sodium Chloride, Glycol Distearate, Parfum (Fragrance), Citric Acid, Guar Hydroxypropyltrimonium Chloride, Cocamide MEA, Laureth – 10, Benzyl Alcohol, Propylene Glycol, Bambusa Vulgaris Sap Extract, Hydrolyzed keratin, Methylchloroisothiazolinone, Methylisothiazolinone, Phalaenopsis Amabilis Extract	ЕС	Высокая	Интенсивный	Жирный	Нормальный
Kaypro Scalp Care Balance  Шампунь для волос cебум-контроль для жирной кожи головы и волос		Aqua (Water), Sodium Laureth Sulfate, Magnesium Laureth Sulfate, Sodium Chloride, Disodium Coco-Glucoside Citrate, Cocamidopropyl Betaine, Piroctone Olamine, Parfum (Fragrance), Glycol Distearate, Cocamide MEA, Citric Acid, Laureth – 10, Triethylene Glycol, DMDM Hydantoin, Propylene Glycol, Limonene, Benzyl Alcohol, Linalool, Theobroma Cacao Seed Butter (Theobroma Cacao (Cocoa) Seed Butter), Olea Europaea (Olive) Fruit Oil, Limnanthes Alba Seed Oil (Limnanthes Alba (Meadowfoam) Seed Oil), Butylene Glycol, Methylchloroisothiazolinone, Methylisothiazolinone, Magnesium Nitrate, Magnesium Chloride, Hypnea Musciformis Extract, Hydrolyzed Corallina Officinalis Extract, Betula Alba Bark Extract, Phenoxyethanol, Potassium Gluconate, Sodium methylparaben, Ethylhexylglycerin.	ЕС	Высокая	Интенсивный	Жирный	Нормальный
Londa Professional Impressive Volume Шампунь для придания объема		Aqua, SodiumLaureth Sulfate, SodiumLauryl Sulfate, SodiumChloride, SodiumXylenesulfonate, Cocamidopropyl Betaine, Sodium Citrate, Sodium Benzoate, Citric Acid, Parfum, Salicylic Acid, Tetrasodium EDTA, Methylparaben, Hydroxypropyl Methylcellulose, Alpha-Isomethyl Ionone, Propylene Glycol, Hexyl Cinnamal, Cymbopogon Citratus Extract, Cereus Grandiflorus Flower Extract, Bambusa Vulgaris Leaf/Stem Extract, Phenoxyethanol, Potassium Sorbate, Propylparaben, Ethylparaben, Butylparaben	ЕС	Высокая	Интенсивный	Жирный	Нормальный
Ollin Professional  Salon beauty Шампунь для ухода за волосами с экстрактом ламинарии, увлажнение и гладкость		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium chloride, Cocamide DEA, Glycol Distearate, Laureth-4, Parfum, Citric Acid, Tetrasodium EDTA, Propylene Glycol, Laminaria Saccharina Extract, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Linalool.	РФ/СНГ	Высокая	Интенсивный	Жирный	Нормальный
Ollin Professional  Salon beauty Шампунь питание и восстановление		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Sodium chloride, Cocamide DEA, Glycol Distearate, Laureth-4, Parfum, Citric Acid, Tetrasodium EDTA, Propylene Glycol, Linum Usitatissimum Seed Extract, Magnesium nitrate, Magnesium chloride, Methylchloroisothiazolinone, Methylisothiazolinone, Benzyl Salicylate.	РФ/СНГ	Высокая	Интенсивный	Жирный	Нормальный
Pantene Pro V Aqua Light Шампунь, для тонких волос, склонных к жирности		Aqua, Sodium Laureth Sulfate, Sodium Chloride, Cocamidopropyl Betaine, Sodium Xylenesulfonate, Parfum, Citric Acid, Sodium Benzoate, Cocamide MEA, Sodium Citrate, Sodium Salicylate, Sodium Hydroxide, Glycerin, Tetrasodium EDTA, Panthenol, Panthenyl Ethyl Ether, Guar Hydroxypropyltrimonium Chloride, Hexyl Cinnamal, Hydroxycitronellal, Histidine  * состав может отличаться в зависимости от страны производства	ЕС РФ/СНГ	Средняя	Интенсивный	Жирный	Нормальный
Hair Sekta Delete Шампунь очищающий от всех посторонних накоплений		Aqua, citric acid, sodium laureth sulfate, cocamidopropyl betaine, soyamidopropylamine oxide/cocamidopropylamine oxide, glycol distearate, cocamide dea, laureth-7, ascorbic acid, polyquaternium-7, disodium edta/tetrasodium edta, methylchloroisothiazolinone, methylisothiazolinone, magnesium chloride, magnesium nitrate, parfum	РФ/СНГ	Высокая	Хелатные шампуни		
L'Oreal Professionnel  Serie Expert Metal Detox Shampoo  Очищающий шампунь против металлических накоплений в волосах 		1247046 I - Aqua / Water • Sodium Cocoyl Isethionate • Disodium Laureth Sulfosuccinate • Glycol Distearate • Sodium Lauryl Sulfoacetate • Sodium Lauroyl Sarcosinate • Glycerin • Parfum / Fragrance • Ppg-5-Ceteth-20 • Decyl Glucoside • Cocamidopropyl Betaine • Coco-Betaine • Divinyldimethicone/Dimethicone Copolymer • Amodimethicone • Citric Acid • Sodium Hydroxide • Polyquaternium-7 • Polyquaternium-10 • Carbomer • Sodium Benzoate • Sodium Chloride • Limonene • Peg-55 Propylene Glycol Oleate • Propylene Glycol • Salicylic Acid • Benzoic Acid • Polysorbate 21 • Hexyl Cinnamal • Linalool • Trideceth-6 • C12-13 Pareth-23 • C12-13 Pareth-3 • Citral • Geraniol • Glycine • Tocopherol • Cetrimonium Chloride • Phenoxyethanol. C262553/1.	ЕС	Высокая	Хелатные шампуни		
Tefia  Deep Clean Detox Shampoo Хелатирующий шампунь для глубокой очистки волос		Aqua (water), sodium laureth sulfate, cocamidopropyl betaine, disodium cocoamphodiacetate, disodium laureth sulfosuccinate, sodium chloride, laureth-7 citrate, hydroxyethyl urea, tetrasodium edta, panthenol, methylisothiazolinone, methylchloroisothiazolinone, parfum (fragrance), linalool, limonene.  Обратите внимание: тут есть и хелатирующее действие, и действие ШГО - для подготовки к проф. процедурам. Если требуется только хелатирующий шампунь, то лучше посмотреть другое средство	РФ/СНГ	Средняя	Хелатные шампуни		
Angel Professional  Deep Cleansing  Профессиональный шампунь для глубокого очищения волос без сульфатов 		Aqua(Water), Coco-Glucoside, Cocamidopropyl Betaine, Seaweed Essence, Marine Collagen, Fragrance, D- Panthenol, Phenoxyethanol, Allantoin, Disodium Edta, Sodium Citrate. 	ЕС	Высокая	Шампуни глубокой очистки		
Aravia Professional  Extra Clarifying Shampoo  Шампунь глубокой очистки для подготовки к профессиональным процедурам		Aqua, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Citrus Aurantifolia Fruit Extract, Camellia Sinensis Leaf Extract, Trimethylglycine, Glycerin, Allantoin, Panax Ginseng Root Extract, PEG-4 Rapeseedfmid, Perfume, Methylchloroisothiazolinone, Methylisothiazolinone, Disodium EDTA, Sodium Chloride.	РФ/СНГ	Средняя	Шампуни глубокой очистки		
Tefia  Deep Clean Detox Shampoo Хелатирующий шампунь для глубокой очистки волос 		Aqua (water), sodium laureth sulfate, cocamidopropyl betaine, disodium cocoamphodiacetate, disodium laureth sulfosuccinate, sodium chloride, laureth-7 citrate, hydroxyethyl urea, tetrasodium edta, panthenol, methylisothiazolinone, methylchloroisothiazolinone, parfum (fragrance), linalool, limonene.	РФ/СНГ	Средняя	Шампуни глубокой очистки		
CUTRIN  Ainoa deep clean shampoo  Шампунь для глубокого очищения		Aqua (water), sodium laureth sulfate, cocamidopropyl betaine, peg-7 glyceryl cocoate, peg-18 glyceryl oleate/cocoate, menthyl ethylamido oxalate, phenoxyethanol, parfum(fragrance), peg-40 hydrogenated castor oil, ethylhexylglycerin, polyquaternium-47, sodium benzoate, silicone quaternium-8, sodium chloride, disodium edta, hydroxypropyl guar hydroxypropyltrimonium chloride, lactic acid, glycerin, empetrum nigrum fruit juce, potassium sorbate	ЕС	Высокая	Шампуни глубокой очистки		
JKeratin Must Have Шампунь глубокой очистки		AQUA, COCAMIDOPROPYL BETAINE, SODIUM LAURETH SULFATE, PROPYLENE GLYCOL, COCO-GLUCOSIDE, SODIUM LAUROYL METHYL ISETHIONATE, GLYCERIN, PHENOXYETHANOL, SODIUM METHYL OLEOYL TAURATE, HYDROXYPROPYL BIS-HYDROXYETHYLDIMONIUM CHLORIDE, COCAMIDOPROPYL PG-DIMONIUM CHLORIDE PHOSPHATE, PARFUM, LAURYL GLUCOSIDE, POTASSIUM LACTATE, DISODIUM LAURYL SULFOSUCCINATE, ETHANOLAMINE, ETHYLHEXYLGLYCERIN, HEXYL CINNAMAL, TRISODIUM ETHYLENEDIAMINE DISUCCINATE, D-LIMONENE, BUTYLPHENYL METHYLPROPIONAL, SODIUM BENZOATE, BETA-GLUCAN.	РФ/СНГ	Высокая	Шампуни глубокой очистки		
Kapous Studio  Professional Deep Cleaning Шампунь глубокой очистки для всех типов волос		Aqua (water), sodium laureth sulfate, sodium chloride, parfum (fragrance), imidazolidinyl urea, tetrasodium edta, citric acid, benzophenone-4, hydrolyzed keratin	РФ/СНГ	Средняя	Шампуни глубокой очистки		
